,Unnamed: 0,language,age,share_flat,flatmates,animals,relationship,clean_satisfaction,clean_outsource,schedule_tool,task_rotation,tasks,shared_expenses,alone_all,use_app,feature_task,feature_expenses,feature_reports,feature_calendar,feature_shoplist
95,95,English,More than 37,Yes,2,No pets,"Friends, Family",4.0,No,Spreadsheet,Once a week,"Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
96,96,English,25–30,Yes,2,No pets,Partner,4.0,Yes,,,,,,,,,,,
97,97,English,31–37,No,,,,,,,,,,,,,,,,
98,98,English,25–30,No,,,,,,,,,,,,,,,,
99,99,English,18–24,Yes,3,No pets,People I met on app,3.0,No,Spreadsheet,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen",Split the cost,Alone,Yes,Likely,Likely,Likely,Very likely,Very likely
100,100,English,More than 37,Yes,3,Dogs,People I met on app,3.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning kitchen, Throwing the garbage, Buying common items",We don't really think about it,Alone,No,,,,,
101,101,English,18–24,Yes,4,Cats,"Friends, Family",4.0,Yes,,,,,,,,,,,
102,102,English,25–30,Yes,2,Cats,"Friends, Family",4.0,No,We just remember,Twice a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Buy it in turns,Alone,No,,,,,
103,103,English,25–30,No,,,,,,,,,,,,,,,,
104,104,English,25–30,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
105,105,English,25–30,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
106,106,English,31–37,Yes,2,No pets,"Friends, Family",4.0,No,We just remember,Never,"Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry",Split the cost,All together,No,,,,,
107,107,English,31–37,No,,,,,,,,,,,,,,,,
108,108,English,31–37,No,,,,,,,,,,,,,,,,
109,109,English,31–37,Yes,3,No pets,Acquaintances,4.0,No,White board on the fridge door,Once a week,"Cleaning kitchen, Buying common items, Cleaning kitchen, Cleaning bathroom/toilets",Buy it in turns,Alone,Yes,Very likely,Likely,Likely,Very likely,Likely
110,110,English,25–30,No,,,,,,,,,,,,,,,,
111,111,English,31–37,No,,,,,,,,,,,,,,,,
112,112,English,31–37,No,,,,,,,,,,,,,,,,
113,113,English,18–24,Yes,3,Dogs,"Friends, Family",5.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Buy it in turns,Alone,Yes,Very likely,Very likely,Likely,Likely,Very likely
114,114,English,31–37,Yes,2,No pets,Acquaintances,4.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,All together,Yes,Very unlikely,Likely,Very unlikely,Very unlikely,Unlikely
115,115,English,31–37,Yes,2,No pets,Acquaintances,4.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,All together,Yes,Very unlikely,Likely,Very unlikely,Very unlikely,Unlikely
116,116,English,25–30,Yes,3,No pets,Acquaintances,5.0,Yes,,,,,,,,,,,
117,117,English,31–37,Yes,3,Cats,People I met on app,3.0,Yes,,,,,,,,,,,
118,118,English,31–37,Yes,4,No pets,Acquaintances,2.0,Yes,,,,,,,,,,,
119,119,English,18–24,Yes,,,,,,,,,,,,,,,,
120,120,English,25–30,Yes,2,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,All together,No,,,,,
121,121,English,31–37,Yes,3,Cats,"Friends, Family",3.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Buying common items",Split the cost,Alone,No,,,,,
122,122,English,31–37,No,,,,,,,,,,,,,,,,
123,123,English,25–30,Yes,4,No pets,"Friends, Family",4.0,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Throwing the garbage",Split the cost,All together,Yes,Very likely,Very likely,Very likely,Very likely,Very likely
124,124,English,More than 37,Yes,4,No pets,"Friends, Family",3.0,No,We don't schedule our tasks,Once a week,Cleaning bathroom/toilets,Buy it in turns,Alone,No,,,,,
125,125,English,More than 37,Yes,2,Dogs,"Friends, Family",5.0,Yes,,,,,,,,,,,
126,126,English,25–30,Yes,2,Cats,"Friends, Family",3.0,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,All together,Yes,Likely,Very likely,Neutral,Likely,Very likely
127,127,,31–37,No,,,,,,,,,,,,,,,,
128,128,,31–37,Yes,3,Cats,Acquaintances,5.0,Yes,,,,,,,,,,,
129,129,,25–30,Yes,2,Dogs,"Friends, Family",4.0,No,Trello,Once a week,Cleaning living-room,We don't really think about it,All together,Yes,Very likely,Very likely,Neutral,Very unlikely,Very likely
130,130,Italian,,No,2,No pets,"Friends, Family",5.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Laundry, Buying common items",I buy my own stuff,Alone,Yes,Neutral,Neutral,Neutral,Neutral,Likely
131,131,Italian,31–37,No,,,,,,,,,,,,,,,,
132,132,Italian,More than 37,Yes,4,Cats,"Friends, Family",4.0,Yes,,,,,,,,,,,
133,133,Italian,More than 37,No,,,,,,,,,,,,,,,,
134,134,Italian,More than 37,No,,,,,,,,,,,,,,,,
135,135,Italian,More than 37,Yes,2,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Twice a week,"Cleaning kitchen, Cleaning bathroom/toilets, Buying common items",We don't really think about it,Alone,No,,,,,
136,136,Italian,More than 37,Yes,2,No pets,"Friends, Family",4.0,Yes,,,,,,,,,,,
