,Unnamed: 0,Unnamed: 0.1,Marca de temps,Language,How old are you?,Do you share your flat?,How many people do live in the house? ,What kind of animals live in the house?,What kind of relationship do you have with your flatmates?,How satisfied are you with the cleanliness of the house?,Do you outsource the house tasks?,Which tool do you use to schedule your tasks?,How often do you rotate the home tasks?,What kind of tasks are you responsible of?,"How do you deal with the shared expenses? (toilet paper, cleaning products, etc)",Do you rather cleaning alone or all together?,Would you use an app to manage the house tasks?,How likely you are to use this features? [Setting up tasks/shifts/house rules],How likely you are to use this features? [Tracking common expenses],How likely you are to use this features? [Receiving reports of each roommate's contribution],How likely you are to use this features? [Receiving notifications / reviewing task calendar],How likely you are to use this features? [Managing shopping list for household products]
146,146,146,19/01/2021 12:07:21,Italian,31–37,Yes,3,Dogs,People I met on app,4.0,Yes,,,,,,,,,,,
147,147,147,19/01/2021 12:34:29,Italian,31–37,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
148,148,148,19/01/2021 13:34:55,Italian,More than 37,Yes,2,Dogs,Partner,4.0,Yes,,,,,,,,,,,
149,149,149,19/01/2021 13:47:46,Italian,More than 37,No,,,,,,,,,,,,,,,,
150,150,150,19/01/2021 13:53:59,Italian,More than 37,Yes,2,Cats,"Friends, Family",4.0,No,We don't schedule our tasks,Twice a week,"Cleaning kitchen, Cleaning bathroom/toilets, Laundry, Buying common items",We don't really think about it,Alone,Yes,Neutral,Neutral,Neutral,Neutral,Neutral
151,151,151,19/01/2021 14:07:38,Italian,More than 37,Yes,3,Dogs,"Friends, Family",4.0,Yes,,,,,,,,,,,
152,152,152,19/01/2021 16:26:49,Italian,More than 37,Yes,2,Cats,"Friends, Family",4.0,No,We don't schedule our tasks,Twice a week,"Cleaning kitchen, Cleaning bathroom/toilets, Laundry, Buying common items",We don't really think about it,Alone,Yes,Neutral,Neutral,Neutral,Neutral,Neutral
153,153,153,19/01/2021 20:03:53,Italian,More than 37,Yes,2,Cats,"Friends, Family",4.0,No,We don't schedule our tasks,Twice a week,"Cleaning kitchen, Cleaning bathroom/toilets, Laundry, Buying common items",We don't really think about it,Alone,Yes,Neutral,Neutral,Neutral,Neutral,Neutral
154,154,154,20/01/2021 11:24:49,Italian,18–24,Yes,4,No pets,People I met on app,3.0,Yes,,,,,,,,,,,
155,155,155,18/01/2021 22:34:15,French,25–30,No,,,,,,,,,,,,,,,,
156,156,156,18/01/2021 22:40:22,French,25–30,No,,,,,,,,,,,,,,,,
157,157,157,18/01/2021 22:42:00,French,More than 37,No,,,,,,,,,,,,,,,,
158,158,158,18/01/2021 22:50:25,French,31–37,Yes,2,Cats,Acquaintances,2.0,No,We don't schedule our tasks,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,Alone,Yes,Likely,Likely,Likely,Likely,Likely
159,159,159,18/01/2021 22:51:07,French,25–30,No,,,,,,,,,,,,,,,,
160,160,160,18/01/2021 23:00:39,French,25–30,No,,,,,,,,,,,,,,,,
161,161,161,18/01/2021 23:10:05,French,18–24,No,,,,,,,,,,,,,,,,
162,162,162,18/01/2021 23:30:25,French,25–30,Yes,4,No pets,Acquaintances,3.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
163,163,163,18/01/2021 23:49:58,French,25–30,Yes,2,Cats,"Friends, Family",3.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,Alone,No,,,,,
164,164,164,19/01/2021 0:38:19,French,18–24,No,,,,,,,,,,,,,,,,
165,165,165,19/01/2021 1:21:58,French,31–37,No,,,,,,,,,,,,,,,,
166,166,166,19/01/2021 2:59:36,French,More than 37,Yes,2,Cats,"Friends, Family",5.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Buying common items",We don't really think about it,Alone,No,,,,,
